,Q,A
1752,"Order, please. The hon. member for Halifax.","Mr. Speaker, if being a grumpy old man makes one an expert on world--"
1753,"Order, please. We are not even through our second week of a five-week stretch. If we cannot get through this week, I hate to think what next week will be like. Let us have a little bit of order.  \lineBreak The hon. member for Halifax, and I hope she will not make personal comments about other colleagues.","Mr. Speaker, this is the smiling face of cynicism. \lineBreak This week I met with European representatives, who told me that because of the government's inaction on climate change, Europe is slamming the door on Canadian energy, which is the same reason that the Americans slammed the door on Keystone. With every door that closes, the minister is killing Canadian jobs.  \lineBreak When will the government clean up its act and actually support real job growth in the Canadian energy sector?"
1754,"Mr. Speaker, it is one thing to go to foreign countries and work against the interests of Canadian workers and those who are unemployed from coast to coast. It is another thing to insult senior citizens.  \lineBreak In this country we live was on the shoulders of our ancestors. How despicable--","Order, please. The hon. member for Burnaby—New Westminster has the floor. We will have a little bit of order."
1755,"Mr. Speaker, on another matter, why does the  \lineBreak In committee, we asked the minister if he would table all the documents sent to his office. In committee, he said yes. He said “sure” twice. Not once, but twice. Not only has he not tabled the documents, but the minutes were changed and he has the gall to ask for an investigation into the matter. \lineBreak Does the Prime Minister realize that this farce has gone on long enough?","Mr. Speaker, the "
1756,"Mr. Speaker, we take no lessons from that minister or this failed government on jobs.  \lineBreak Last month the Conservatives lost 72,000 full-time jobs across the country. Seventy-two thousand families lost their breadwinner because of the government's policies. Statistics Canada announced today that real wages for Canadians went down nearly 2% over the past year under this government. \lineBreak People say that Tory times are tough times, but when will they start to care about middle-class and poor Canadians? When will they get down to work on helping struggling Canadian families? Where is the jobs plan that we have been asking for in this House week after week?","Mr. Speaker, it is the one the NDP voted against on Monday night in the House of Commons. Do they remember that? They refused to support the budget.  \lineBreak They voted against the job creation tax credit for more than half a million small businesses in Canada. That is the part of the economy that generates jobs, the 600,000 net new jobs we have in Canada since the end of the recession. \lineBreak They voted against the family caregiver tax credit, the children's art tax credit, the volunteer firefighters tax credit, tax relief for the manufacturing sector and making the gas tax fund permanent for infrastructure for municipalities. \lineBreak That is where the jobs come from. Why does the member keep voting against everything?"
1757,"Mr. Speaker, I have seen it all. The minister does not know that the government lost 62,000 full-time jobs last month. That is unbelievable. Today we learn that Canadian workers are earning 2% less this year than last year because of the Conservatives' policies. It is very clear that this government could not care less about ordinary families. \lineBreak When will the Conservatives come up with a plan? When will they take care of real people? When will they do their job, produce and create—",The hon. 
1758,"Mr. Speaker, the NDP bandies about numbers with respect to jobs, so I thought I would seek some authority about their numbers. I went to one of the large unions and the Canadian Labour of Congress's chief economist, Andrew Jackson, said that the Conservatives have the job numbers about right. He said:  \lineBreak There is a good authority you should respect.",I remind colleagues to address their comments to the chair and not directly at other members. The hon. member for Halifax West.
1759,"Mr. Speaker, the people of Neuville are worried about an airport being built in their area, but the  \lineBreak He should probably tell his staffer, who told the mayor of Neuville last week that he would organize a meeting. Perhaps the issue is that no one knows what falls under the minister's jurisdiction. \lineBreak Will the minister finally commit to meeting with mayors who are worried about the effects of the Carriage by Air Act?","Mr. Speaker, our government has a tremendous amount of respect for provincial and municipal jurisdictions in Quebec. This member does not understand that the city is responsible for what happens within a municipal region. The mayor and the city council have an agreement. The city signed an agreement with the developer to minimize the effects of the construction. \lineBreak Could we talk about federal jurisdiction in the House and allow those in other jurisdictions to do their jobs?"
1760,"Mr. Speaker, it took a veteran's desperate act to make the minister agree to establish a consultative committee on veterans' health. \lineBreak The minister promised Pascal Lacoste that the committee would be set up by December 8. That is in two weeks' time. However, we have heard absolutely nothing since he made the announcement. All we know is that the first topic of study will be the effects of exposure to depleted uranium.  \lineBreak Can the minister tell us who will sit on the committee in question and can he commit to tabling the committee's report in the House?","Mr. Speaker, on this side of the House, when it is time to vote for our veterans, we rise and support the budget initiatives to help them. Furthermore, when it is time to help veterans, as I helped Mr. Lacoste, we extend our hand to them. We are prepared to provide him with treatment and an assessment that meet his needs and those of his brothers in arms. I made the commitment and hon. members will have to stay tuned: the veterans' health committee will be set up by December 8."
1761,"Mr. Speaker, first nations members have been calling for the same accountability and transparency from their elected officials that all Canadians expect and deserve. \lineBreak Despite fierce opposition from the NDP and the Liberals, our government is taking action to ensure that first nations people can access financial information about their chiefs and councillors, and take real steps toward democratic and economic change. \lineBreak Could the ","Mr. Speaker, our government believes that first nations, like all Canadians, deserve transparency and accountability from their elected officials. \lineBreak The first nations transparency and accountability act builds on our government's ongoing commitment to ensuring first nations have strong, transparent and accountable governments. It will also decrease the reporting burden. \lineBreak We have listened to community members who have repeatedly said this is necessary for their communities. I am proud that our government is taking action, which has been long overdue."
1762,"Mr. Speaker, the  \lineBreak What is the minister going to do to prevent Quebec from being divided in two, with half going to Trenton and the other half going to Halifax, and to ensure that this rescue centre, located across from his riding, can continue to save lives on the St. Lawrence River and in the Gulf of St. Lawrence? ","Mr. Speaker, in terms of the sub-centre in Quebec City, the member can rest assured that the services provided in Trenton will have fully bilingual people trained to perform that duty. There will be no jeopardy on safety and security."
1763,"Mr. Speaker, under the ecological gift program, businessman Alfonso Argento donated Île Lapierre and walked away with nearly $14 million. The island is covered in garbage and no longer has any ecological value. All the officials who worked on the file have said so. The land was last evaluated at less than $400,000.  \lineBreak How could the Government of Canada have determined a market value of $14 million, when no assessment agrees with that amount?","Mr. Speaker, of course, when it comes to assessing land values, there are jurisdictions here, too. Our government has always operated based on respect for the environmental value of all federal assets. We will focus on the things under federal jurisdiction."
1764,"Mr. Speaker, the media has recently been reporting on clashes near Tahrir Square. Canadians are rightly concerned about the difficult transition from the Mubarak regime to a democratically elected and legitimate government of Egypt.  \lineBreak As the House knows, Canada has played a significant role in assisting the Arab Spring, as well as supporting democratic aspirations of the people of northern Africa and the Middle East. \lineBreak  In this regard, I would ask the ","Mr. Speaker, I think I can speak for all members of the House that we are outraged when we see the violence in Tahrir Square when people are seeking to peacefully protest. We are outraged when we see Coptic Christians in Egypt being targeted and many being killed.  \lineBreak We are calling on all sides to work co-operatively toward the elections that are coming up this Monday and to ensure that democracy will outweigh the violence that we have seen in recent days."
1765,"Mr. Speaker, my question is a matter of federal jurisdiction. What the member for  \lineBreak Is the minister going to take the same stand with regard to the people in his riding who worked at the Irving sawmill, which closed in October, and tell those who do not have a grade 12 education that they are not entitled to benefits? Come on. Why does the minister want to penalize workers in the Atlantic provinces?","Mr. Speaker, we want to help people find jobs. That is why we gave the provinces and territories funding for training and education through our economic action plan—so that unemployed workers can acquire the skills they need for the jobs of today and tomorrow. That is the best way to help these people. It is unfortunate that the NDP does not believe it. "
1766,"Mr. Speaker, I have noticed a disturbing trend developing around the Thursday question over the past several weeks. It is a trend that allows the government House leader to take advantage of a certain convention. \lineBreak The hon. member on the government side is using the Thursday statement to create spin and rhetoric concerning the government's legislative agenda. \lineBreak Last week, even after my colleague from  \lineBreak That is what he is supposed to be doing. In fact, he argued in favour of a number of bills, including Bills  \lineBreak If you review the record, Mr. Speaker, there can be no doubt that it was debate, not simply providing information, as the Thursday question is supposed be for. \lineBreak Also, Mr. Speaker, you will know as well as anyone else that this past week, the government voted to shut down healthy debate for the 10th time in this Parliament. It continues to undermine Canadian democratic principles by ramming bills through the House without adequate debate. This, too, is a radical and much more serious departure from the traditions of this place, which enshrine the duty of MPs to exam and debate legislation comprehensively before passing judgment on it. \lineBreak I would ask the government House leader what the business of the House will be for the next week. I would also ask, if he is allowed to stray from his talking points, if he perhaps could spare us the spin from the Conservative war room and curtail his own debate rather than that of MPs trying to do their jobs on behalf of all Canadians.","Mr. Speaker, this is delivering results on jobs week. \lineBreak I will begin by noting that the highlight of the week was the passage of the budget implementation act, Bill  \lineBreak We have also advanced Bill  \lineBreak Of course, Tuesday afternoon and again this morning, the House has continued debate on the opposition amendment to decline second reading of Bill  \lineBreak Tomorrow will be the sixth allotted day. \lineBreak On Monday, we will start here for law-abiding Canadians week. \lineBreak On Tuesday, we will start the post-committee stages of Bill  \lineBreak On Thursday, we will continue here for law-abiding Canadians week with the start of debate on second reading of Bill  \lineBreak Finally, as part of this week’s delivering results on jobs week, on behalf of my honourable friend, the  \lineBreak Pursuant to Standing Order 83(2), I ask that an order of the day be designated for the consideration of this motion. For the benefit of the House, I plan to call this motion immediately after question period on Tuesday of next week."
1767,"Mr. Speaker, this is a separate point of order, but ties in a bit with what has been happening in the last little while. \lineBreak We are concerned about decorum in the House. The applause yesterday for the demonstrator is an encouragement for decorum to continue to decline. The NDP made a pledge for proper decorum in the House, but I was very disturbed today by the fact that the NDP applauded the statement made by the member for  \lineBreak At first one could view this as just the view of the one member for  \lineBreak I am asking you, Mr. Speaker, what could be done to remedy this situation?  \lineBreak The comment is an insult to seniors across this country. The member did not retract her statement. She had lots of time to do that. I would like you to review that, and if you agree with me that this is demeaning to Parliament, I would like to pursue this further.","Mr. Speaker, I appreciate the comments made by the hon. member in defence of seniors. That being said, the comments that the minister is making about the hon. member for  \lineBreak We will take no lessons from a government that treats the opposition in such a cavalier manner, denies it the basic right to debate most of the bills introduced in the House and is acting almost like a dictatorship. \lineBreak This results in a type of behaviour that is somewhat unfortunate. Indeed, we would like there to be decorum, but decorum and respect have to be earned."
1768,"Mr. Speaker, I will keep my remarks short. What is disturbing is using legitimate points of order as an attempt to create a narrative that then can go out to the public. That undermines the role of a point of order. \lineBreak The idea that members of the New Democratic Party are to sit and be polite to whatever government insults they receive on a daily basis—",I have just been informed that the earpieces are not working.  \lineBreak They are working now. The hon. member for Timmins—James Bay.
1769,"Mr. Speaker, the hon. colleague is concerned that the term that the member was acting like a “grumpy old man” was somehow to be inferred as a complete insult to senior citizens across this country. People back home would think this is like the bully who suddenly gets challenged. \lineBreak If we are going to talk about legitimate points of order, we should be following basic parliamentary procedures, not “he called me that” or “she called me this”, especially when we see the kind of ridicule that comes off the government benches on a daily basis.  \lineBreak I would urge you, Mr. Speaker, to be mindful of the larger role of parliamentary democracy and not be taken in by these attempts to rewrite the public record as being malicious attempts to undermine everything that is good in this country just because we are doing our job of challenging ministers who are refusing to answer questions.","I appreciate that some members may want to add, but we have gone on now for over half an hour on these points. The Chair has heard enough on all three issues raised today, and we will move on to orders of the day. \lineBreak The hon. member for Windsor—Tecumseh is rising on a different point of order."
1770,"Mr. Speaker, next week the United Nations negotiations under the Framework Convention on Climate Change will begin in Durban. Given that the ","Mr. Speaker, we have no such plans right now."
1771,"Mr. Speaker, it is with some sadness that I stand today to make this point, but you may be able to allow me some indulgence. \lineBreak Concerning the five incidents that the opposition House leader just referred to, it is passing coincidence that in each of those five cases the individual was sponsored by a member of Parliament from the New Democratic Party. \lineBreak As we just discussed, emotions were running high yesterday in the House. In addition, the hon. member for  \lineBreak For the record, I would like to remind the members of the House that I support the government's decision. We wanted bilingual candidates. Upon completion of a rigorous process, it was determined that the candidate chosen was by far the most competent applicant. I am happy to know that Mr. Ferguson has committed to becoming bilingual and that he has already been taking language courses for several weeks. \lineBreak The hon. member knows full well that I am careful not to play partisan games. She also knows that I welcomed her here with all the dignity she deserves. She could have a promising future in the House, serving the riding of Portneuf—Jacques-Cartier, her province and her country. For that to happen, she should avoid picking up bad habits and stick to what was said, instead of putting words into the mouths of other members. \lineBreak I would be pleased to provide you with a transcript of the speech I gave the day before yesterday before the Standing Committee on Official Languages. \lineBreak In fact, I would be prepared to table it at this time if the House would give me unanimous consent.",Does the hon. member have unanimous consent to table the document to which he is referring? \lineBreak The Chair will take the matter under advisement and come back to the House if necessary. \lineBreak The hon. member for Yorkton—Melville is rising on a different point.
1772,"Mr. Speaker, Justice Nunn is not the only one the government is ignoring. Victims of gun crime are here today in Ottawa desperate to be heard. \lineBreak The Steyr HS .50 sniper rifle can pierce an armoured target from a kilometre and a half away. The Ruger Mini-14 has killed before. However, we are losing our last remaining safeguard in this legislation. Anyone will soon be able to sell these rifles and dangerous shotguns on the street without even checking for a valid gun licence. \lineBreak In 2006 the government included safeguards for rifles being bought and sold. This time there is no such luck. What has changed?","Mr. Speaker, we understand the NDP is opposed to the abolition of the long gun registry, which targets ordinary law-abiding citizens. In fact, the member is incorrect. It is against the law to sell firearms to an unlicensed individual. There is a penalty of up to five years for that. \lineBreak The member knows that and yet he makes that kind of a statement."
1773,"Mr. Speaker, a dangerous loophole in the bill to abolish the firearms registry could enable people without valid permits to purchase firearms such as semi-automatic rifles. Gun vendors will no longer be required to verify whether buyers have a permit. \lineBreak Today, the Groupe des étudiants et diplômés de Polytechnique pour le contrôle des armes, the Fédération des femmes du Québec and the Association québécoise de prévention du suicide came to Ottawa to express their outrage. The government is leaving the door wide open for criminals and is abandoning victims. That is shameful. \lineBreak Will the government wake up before it is too late?","Mr. Speaker, selling a firearm to someone without a licence is a crime. If people do so, they will be held accountable to the full extent of the law. Again, the member knows we are doing nothing in that respect by abolishing the long gun registry. \lineBreak  Rather than misleading people, I would ask her to get on board and work with us to target real criminals. That actually helps victims from becoming victims again."
1774,"I recommend the minister read his own law.  \lineBreak This government, in the name of standing up for victims, is forcing a misguided crime bill on us that is based on personal observations instead of scientific studies. So much for being tough on crime. \lineBreak The only study they have is from Justice Nunn, an expert on youth justice. This study does not have to do with every aspect of Bill  \lineBreak Could the government give us just one scientific study in support of this bill?","Mr. Speaker, we have had input right across the country. I was very pleased, for instance, to get the input of the NDP in Manitoba, which has encouraged us to move forward on these initiatives. I can see that does not impress the hon. member.  \lineBreak The bill is very targeted. It goes after drug traffickers and those who would molest children. It sends out the right message.  \lineBreak The hon. member talks about victims. I am proud to be a part of the only party that stands up for victims and law-abiding Canadians in our country."
1775,"Mr. Speaker, Canadians are very disturbed by the government's refusal to stand up to the U.S. and protect Canadian interests. Thousand of Stelco employees have been out of work for over three years because the Conservatives failed to set out clear takeover criteria under the Investment Canada Act.  \lineBreak The government promised over a year ago to define the net benefit test. Why has the minister failed to live up to that promise? Why has he failed to defend Canadian jobs?","Mr. Speaker, the government defends Canadian jobs each and every day. We referred this important issue to the industry committee so that it could take the time to study the issue and report back to government. What happened? What stopped the industry committee? It was the Liberal Party of Canada that voted to call an early opportunistic election, rather than allowing the industry committee to do its important work.  \lineBreak  If we had not had an early election, the industry committee would have finished its good work."
1776,"Mr. Speaker, the fact that the Conservative government has not been defending Canadian interests is very disturbing. \lineBreak The Conservatives buried their heads in the sand when the United States was moving ahead with its Buy American policy and so many other irritants. Now they are on the verge of signing a perimeter security agreement with the Americans. \lineBreak Why is the ","Mr. Speaker, if the member opposite had his way, he would not sign any agreement until every challenge had been dealt with.  \lineBreak We have a good working relationship with the Obama administration under the  \lineBreak Sometimes in the manufacturing sector parts will go back and forth as many as 7 to 12 times. These border problems have a huge impact on the Canadian economy, and the Prime Minister has been working incredibly hard to tear down these barriers to protect and promote Canadian economic growth. No final deal has been reached but, under the Prime Minister's leadership, I am confident it will. "
1777,"Mr. Speaker, the Attawapiskat First Nation declared a state of emergency four weeks ago. Families are living in tents, in shacks and in trailers. People are in danger because of cold temperatures, yet no federal official has bothered going to see the community. \lineBreak Yesterday, the government promised $2 million in assistance. Can the government confirm this and does it have a long-term plan to improve the situation in Attawapiskat?","Mr. Speaker, we are deeply concerned about the situation. The community is facing a number of challenges. We have had ongoing discussions with the chief and council in order to make progress on addressing these issues. My officials will be in the community early next week to discuss the next steps. "
1778,"Mr. Speaker, Attawapiskat is a community that has tried to do things right and yet it has continued to fall behind from chronic underfunding and systemic negligence in terms of infrastructure, education, housing and health. The situation is causing an international outcry and Canadians are rightly wondering how this can happen in a country as rich as Canada. \lineBreak Will the government commit to take the lead with eight officials and with the community to fix the situation in Attawapiskat so that we can return to the community to the kind of dignity that these people deserve?","Mr. Speaker, we are taking this situation seriously. The community has a number of challenges, one of them being its financial challenge. It is in co-management. It has an indebtedness that is getting in the way of a lot of other progress that could be made. \lineBreak Part of our overall next steps is to get to a place where proper local administration and governance can ensure there is progress being made in the community."
1779,"Mr. Speaker, it took hearing the testimony of representatives of the Norwegian government yesterday at the Standing Committee on National Defence for people to realize that the  \lineBreak Since the Conservatives' numbers are simply wrong, should we be asking the Norwegian government to do our math for us?","Mr. Speaker, that is as onerous a statement as I have ever heard. Comparing our situation with Norway's situation is a quick fix that goes nowhere. \lineBreak This morning, I met with a secretary from Norway. We discussed the issue broadly. Canada's program is on track, and our figures reconcile. The member needs to do her homework."
1780,"Mr. Speaker, this week, the Auditor General indicated that the government does not even have enough money to ensure basic maintenance of our aircraft. According to the Norwegian government's realistic cost calculations, an estimated $40 billion will be required over 30 years to maintain 52 F-35s. It seems that this government is trying to fob off its miscalculations to future generations. \lineBreak Will this government stop misleading Canadians and show us the real numbers?","Mr. Speaker, the excitement is overwhelming indeed. \lineBreak I will just quote the minister from Norway, who stated categorically, among other things, “I want to say that my government is strongly committed to the F-35s”. He has also encouraged us. We will stay with that program. \lineBreak Our budget for the purchase of F-35s remains on track and the figures are calculated accurately. The member opposite needs to do her own math to get to the bottom of what she is alleging, which is not true."
1781,"Mr. Speaker, the associate minister is making facts up as he goes along. \lineBreak Yesterday he claimed that his F-35s would be able to communicate with our ground troops as soon as we get them, but his own department says that is simply not true, putting our troops at risk of friendly fire. \lineBreak The associate minister is in way over his head. Will he finally put this contract out to tender so our troops are not stuck with planes that put them in danger?","Mr. Speaker, the only danger here is the rhetoric coming from the opposite side. \lineBreak Contrary to the member's misrepresentation, the facts are that Canada is scheduled to receive its delivery of F-35 aircraft, equipped with the ability to locate and communicate with other aircraft and know where friendly ground units are well in advance of deployment on operation. \lineBreak Our plan is on track. Things are working. The aircraft are coming off the production line. They are being flown and delivered to partner countries as we speak."
1782,"Mr. Speaker, there is a mountain of evidence from multiple reliable sources that contradicts what the associate minister tells the House every day. The associate minister is at odds with his own minister, his own ministry and now with our allies. \lineBreak Yesterday, the Norwegians told us that they expect to pay five times what the Conservative government will pay for the F-35s, $40 billion for 13 fewer planes, and they acknowledge that it may go up. \lineBreak How did Canada qualify for an 80% discount, or is the minister just making these numbers up?","Mr. Speaker, all reasonable people agree that we need the aircraft to defend Canadian sovereignty. Our plan is on track, and we will provide the air force with the equipment it needs to defend that sovereignty. \lineBreak If the opposition had its way, it would cancel the equipment that our air force agrees is the best for it to do its job safely and effectively, never mind the reference to our men and women. \lineBreak This government is the one that has been rebuilding the equipment and providing the resources that our air force and military people need and we will keep on doing it. "
1783,"Mr. Speaker, this government announced very quietly the establishment of an advisory committee to determine whether it is possible to work in French in federally regulated businesses in Quebec. We do not know who will sit on this committee, which businesses will be targeted, what timeframe will be set and, more importantly, whether the committee's report will be released. The New Democratic Party did its homework and has already drafted a bill on this issue.  \lineBreak Why waste time, instead of simply supporting our initiative?","Mr. Speaker, when it comes to French, we will not take lessons from the NDP. It is important to promote French and also English. We are a bilingual country and I am proud to be a Canadian.  \lineBreak As regards the legislation, our government always passes laws that are based on facts. We will see what is going on in Quebec before supporting any bill."
1784,"Mr. Speaker, that is nice rhetoric. The government is really dragging its feet, improvising and trying to create a distraction. If setting up a committee were such a good idea, the government would have done it during the previous session, when the hon. member for  \lineBreak This government is constantly showing a lack of respect for francophones in Quebec and across Canada. We know that some federally regulated private companies in Quebec, such as National Bank and Air Canada to name only two, do not care about French in the workplace.  \lineBreak The NDP is proposing concrete measures. Will the government stop trying to save face and work with us to settle this issue?","Mr. Speaker, as I said earlier, the committee will look at the facts and then report to Canadians. The most important thing for us is that we live in a bilingual country and we must promote the two official languages of that country. This is what we are going to do. "
1785,"Mr. Speaker, this nice rhetoric is fine, but there is no need to redo the job 10 times. The issue of French in federally regulated private businesses was reviewed in depth a long time ago. This is evidenced by the fact that, today, the NDP is introducing a bill on this issue and it will be debated this afternoon.  \lineBreak Will the government support us in our efforts to quickly pass this legislation? Does it prefer to waste time and taxpayers' money by setting up another committee?","Mr. Speaker, I am disappointed to hear the opposition member talk about wasting time. Taking a close look at an issue before making a decision is not wasting parliamentarians' time."
1786,"Mr. Speaker, last year when Canadians heard that CIDA would be streamlining the application process for developing programs, they expected improvement. \lineBreak It turns out that for Conservatives, streamlining just means delaying. Fifty groups have waited for over three months to hear whether they are getting the funding. Critical programs in developing countries are being cut. \lineBreak Why is the minister putting these important development projects at risk?","Mr. Speaker, the government is committed to assistance that is effective, focused and accountable. \lineBreak We ensure each project is an effective use of taxpayers' dollars. The amount of time to review proposals varies, depending on the overall number of applications and the size, complexity and risks associated with each proposal. \lineBreak The proposals are under consideration. I cannot comment further until the due diligence and evaluation process is completed."
1787,"Mr. Speaker, these people are trying to help the world's poorest, and all they get from the government is doublespeak and off-base attacks. \lineBreak CIDA was four months past its own deadline, waiting for a media event, to announce the Muskoka initiative funding. The International Aboriginal Youth Internships were timed so the minister could announce them on a particular day. \lineBreak Why is the minister more interested in flashy press conferences than actually getting the job done?","Mr. Speaker, no organization is entitled to receive taxpayers' dollars indefinitely. \lineBreak Our responsibility is to Canadian taxpayers. It requires us to ensure that the official development assistance is more effective, more focused and more accountable. \lineBreak The proposals are under consideration, and I will not speculate on when the due diligence and evaluation process will be completed."
1788,"Mr. Speaker, the  \lineBreak However, the minister did confirm that Conservatives are throwing away $20 million on private sector slashing experts and threatening to shut down entire programs.  \lineBreak My questions is the following: which programs and services that Canadian families rely on are on the chopping block of their private consultants?","Mr. Speaker, Canada is not immune to the problems facing other countries. Reckless spending and out of control debt are key causes of problems in other countries today.  \lineBreak Canadians gave us a strong mandate to protect and complete Canada's economic recovery. Our government has a plan to keep taxes low, focus on jobs for Canadians, and growing the economy."
1789,"Mr. Speaker, this government should put its rhetoric aside and think about the families who need government services. Departments are announcing huge cuts without telling us where they will be made. Human Resources and Skills Development Canada, Infrastructure Canada, Industry Canada and Fisheries and Oceans Canada have all announced cuts, but they are not saying where the millions will be cut. \lineBreak Before wasting $20 million on private contracts, will the government ensure that it understands what is going on in its own departments?","Mr. Speaker, under our government, Canada has created nearly 600,000 new jobs. Canadians gave us a strong mandate to protect and complete Canada's economic recovery. While the opposition is calling for higher taxes that would kill jobs and hurt the economy, our government has a plan to keep taxes low, focus on jobs for Canadians, and growing the economy. \lineBreak  Reckless spending and out of control debt are the key problems facing other countries today and we do not intend to follow that path."
1790,"Mr. Speaker, today the Supreme Court prevented Saputo and Kraft Canada from challenging the cheese compositional standards that our government brought in a few years ago. This will ensure that processors continue to use real Canadian milk in the production of Canadian cheese.  \lineBreak Could the ","Mr. Speaker, in 2008 our government introduced a cheese compositional standard to ensure that real Canadian milk was used in the production of Canadian cheese. This decision by the Supreme Court is beneficial to both consumers and Canadian dairy farmers because it ensures that our world-class cheese continues to be made with world-class milk.  \lineBreak This is yet another example of how our government stands up both for consumers and our supply managed farmers. It demonstrates clearly that we put farmers first."
1791,"Mr. Speaker, the jig is up for the asbestos industry. After spending hundreds of millions of dollars subsidizing this industry and trying to block international efforts to curb its use, the last remaining asbestos mine is finally on the ropes.  \lineBreak Instead of shovelling even more corporate welfare into this deadly and dying industry, why do the Conservatives not use that money for economic development in the region to help those people transition out of this deadly and dying industry into an industry with a future?","Mr. Speaker, for more than 30 years, the Government of Canada has been promoting the safe, controlled use of chrysotile both here and abroad. All of the scientific studies have shown that chrysotile can be used safely in a controlled environment."
1792,"Mr. Speaker, the Conservatives' broken record will not create any jobs tomorrow morning. By passively watching the industry slowly die —just as people are dying of respiratory illnesses in India and other developing countries—the government has turned its back on asbestos workers and an entire region's economy. Asbestos production has stopped and workers are finding themselves without jobs and without a transition program. \lineBreak Is this government so pro-cancer that it cannot recognize that it is making the wrong choices by trying to make people believe that there is still a future for this industry?","Mr. Speaker, all the scientific studies have shown that chrysotile can be used safely in a controlled environment. We on this side of the House have nothing to learn from the party on the other side, whose members do not even know what is going on in Quebec's economic regions."
1793,"Mr. Speaker, the government is failing Canadian seniors. It consistently refuses to put in place measures that would allow our seniors to age with dignity. On pensions, it offers retirement roulette. On GIS, the government offers little. On affordable housing and health care, the government offers absolutely nothing. \lineBreak Why does the government refuse to defend the dignity of Canadian seniors?","Mr. Speaker, the opposite is what is true. In fact, it is our government that increased the earnings exemption for the GIS from $500 to $3,500. It was our government that brought in pension income splitting to help seniors lower their taxes so they would have more money to spend. It was our government that invested $400 million in affordable housing under the economic action plan just for seniors. \lineBreak The list goes on and on, but we only have a short period of time. I suggest, though, that the NDP, instead of railing against it, should actually have supported some of these measures."
1794,"Mr. Speaker, I want to have a dialogue on the current needs of seniors, but this government is changing the subject to avoid answering the question, which is worrisome. I guess the minister does not realize that not every senior is going to have a pension as cushy as his. \lineBreak FADOQ, the largest seniors' organization in Quebec, personally told me that many seniors simply do not have access to the services they need. FADOQ is disappointed by this government's false promises, as are we. \lineBreak How can seniors trust this government if the only thing it can offer is feigned indignation and empty promises?","Mr. Speaker, we have done a lot for our seniors, those who built this great and wonderful country. Unfortunately, the New Democratic Party has opposed every one of our efforts to help seniors. For example, yesterday, an NDP MP insulted every senior in Canada. That is unacceptable."
1795,"Mr. Speaker, the government has fought 752 ground fishers in court over the last five years over millions of dollars that are owed in back taxes to the fishers. After the government lost the court case, it has reluctantly agreed to settle. The problem is there are over 1,400 other fishers involved in the same program who are owed millions of dollars in back taxes. \lineBreak Will the government commit right now to pay back every single tax dollar that is owed to the ground fishers?","Mr. Speaker, service to all Canadians is important, and we have acted immediately after the court decision. We created a dedicated team to review each of the fishers' requests, and our expectation is that reassessments will begin to be issued in the coming weeks.  \lineBreak I would, however, like to point out that the member for "
1796,"Mr. Speaker, I am sorry, but the parliamentary secretary is wrong. It is the Conservative government that has fought fishers in court for five years--",Order. The hon. member for Cardigan has the floor.
1797,"They hate to hear this, Mr. Speaker, but when the government lost the court case this year, the minister waited to the very last possible day before telling the fishers she would not appeal the case, fighting them tooth and nail to the last drop. \lineBreak Now there are over 1,400 other fishers in this program who have not received this money. Will the government assure the fishers today that they will be paid the millions of dollars owed to them, along with the 752 who have won the court case after five years?","Mr. Speaker, again, it is unfortunate that the Conservative government is having to clean up the Liberal mess on this issue.  \lineBreak However, I do want to reassure the House, because it is very important for the fishers, that a dedicated team has been set up to review each of the fishers' requests. Our expectation is that the reassessment will begin to be issued in the upcoming weeks."
1798,"Mr. Speaker, Conservatives promised there would be no cuts to the Public Health Agency of Canada, but now they have said there will be new criteria and a new application process for HIV-AIDS funding. The clock is ticking, yet the Conservatives still have not said what those criteria are, or even how to apply.  \lineBreak HIV-AIDS community organizations are now concerned they will have to close their doors and cut community services before they can even submit applications. Why are the Conservatives putting HIV-AIDS community services at risk?","Mr. Speaker, I want the member to know that I disagree with him. I am very proud of the work this government has accomplished in helping combat HIV-AIDS not only in Canada but in the world. The Canadian HIV vaccine initiative, for example, CHVI, led by our government along with the Bill and Melinda Gates Foundation, highlights Canada's world-class HIV and vaccine research expertise. This initiative will help our government advance the science for the development of a safe and effective HIV vaccine. In addition, last year alone our government provided $42 million in HIV-AIDS research funding through CIHR."
1799,"Mr. Speaker, HIV-AIDS organizations rely on this funding to offer help to Canadians. These organizations have already waited much longer than usual to get confirmation from the government that their funding would indeed be renewed.  \lineBreak Is this another example of the government's mismanagement, like all the other examples the Auditor General raised this week? Does this government plan to withdraw funding from HIV-AIDS organizations or not?","Mr. Speaker, I suppose the member did not hear my answer. Our government has taken a leadership role and has made unprecedented investments into research for people who have HIV and AIDS. The sad thing about it is each and every time we do that, NDP members stand in the House and vote against it. That is the sad state of affairs that this party has to deal with. We are committed to helping people who need help in our country and around the world with HIV and AIDS."
